chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
,,205533,0,0,0,0,0,4,3.0,3.0,0,Eddie,0,11,false,"",,60,205533.jpg,0,Nketiah,0.4,false,,a,1,3,0,1390,1390,5540,5540,0.0,0.0,Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,593,60,598,64,589,62,598,64,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,78,22,595,62,595,62,284,46,0.0,0.0
,,499175,0,0,0,0,0,3,2.0,2.0,0,Ethan,0,12,false,"",,45,499175.jpg,0,Nwaneri,0.2,false,,a,1,3,0,1435,1435,1572,1572,0.0,0.0,Nwaneri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,452,174,458,181,412,148,463,177,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,498,250,463,179,463,179,350,117,0.0,0.0
,,184029,0,0,0,0,0,3,3.9,3.9,3,Martin,3,13,false,"",,85,184029.jpg,3,Ødegaard,15.4,false,,a,1,3,3,16138,16138,74209,74209,0.4,0.4,Ødegaard,90,0,0,1,0,0,0,0,0,0,0,0,16,15.0,24.0,15,5.4,1,0.02,0.06,0.08,0.47,105,35,38,32,67,42,55,41,3.0,"",1.0,"",2.0,"",0.02,0,0.06,0.08,0.47000000000000003,0.0,10,8,88,42,88,42,27,12,1.0,1.0
,,225321,0,0,0,0,0,1,3.2,3.2,0,Aaron,0,14,false,"",,45,225321.jpg,0,Ramsdale,0.8,false,,a,1,3,0,1363,1363,7372,7372,0.0,0.0,Ramsdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,399,57,402,47,340,47,410,57,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,417,29,408,57,408,57,202,29,0.0,0.0
,,154561,0,0,0,0,0,1,5.0,5.0,8,David,8,15,false,"",,55,154561.jpg,8,Raya Martin,25.0,false,,a,1,3,8,38225,38225,38933,38933,1.5,1.5,Raya,90,0,0,1,0,0,0,0,0,0,3,1,28,28.0,0.0,0,2.8,1,0.0,0.0,0.0,0.47,38,7,575,66,560,66,131,7,,"",,"",,"",0.0,3,0.0,0.0,0.47000000000000003,0.0,120,4,17,3,17,3,13,1,1.0,1.0
,,204480,0,0,0,0,0,3,3.3,3.3,3,Declan,3,16,false,"",,65,204480.jpg,3,Rice,6.3,false,,a,1,3,3,16144,16144,37290,37290,0.5,0.5,Rice,84,0,0,1,0,0,0,0,0,0,0,0,9,6.6,13.4,8,2.8,1,0.09,0.05,0.14,0.32,203,89,89,66,97,61,132,78,2.0,"",2.0,"",,"",0.1,0,0.05,0.15,0.34,0.0,49,29,79,33,79,33,64,21,1.07,1.07
,,223340,0,0,0,0,1,3,4.3,4.3,12,Bukayo,12,17,true,"",,100,223340.jpg,12,Saka,33.2,false,,a,1,3,12,131045,131045,33252,33252,1.2,1.2,Saka,79,1,1,1,0,0,0,0,1,0,0,2,42,64.2,61.7,78,20.4,1,0.35,0.37,0.72,0.32,1,1,2,2,2,2,1,1,1.0,"",,"",1.0,"",0.4,0,0.42,0.8200000000000001,0.36,0.0,5,4,4,2,4,2,8,3,1.1400000000000001,1.1400000000000001
,,462424,0,0,0,0,0,2,4.2,4.2,6,William,6,18,false,"",,60,462424.jpg,6,Saliba,40.2,false,,a,1,3,6,38828,38828,54743,54743,1.0,1.0,Saliba,90,0,0,1,0,0,0,0,0,0,0,0,26,14.8,0.9,0,1.6,1,0.0,0.0,0.0,0.47,109,44,224,67,594,202,217,74,,"",,"",,"",0.0,0,0.0,0.0,0.47000000000000003,0.0,89,7,49,20,49,20,3,1,1.0,1.0
,,167199,0,0,0,0,0,3,2.6,2.6,3,Thomas,3,20,false,"",,50,167199.jpg,3,Partey,0.1,false,,a,1,3,3,2346,2346,1028,1028,0.6,0.6,Thomas,90,0,0,1,0,0,0,0,0,0,0,0,16,14.4,43.6,1,5.9,1,0.06,0.06,0.12,0.47,111,38,8,6,191,106,42,33,,"",,"",,"",0.06,0,0.06,0.12,0.47000000000000003,0.0,209,133,71,25,71,25,420,150,1.0,1.0
0.0,0.0,192895,0,0,0,0,0,2,0.0,0.0,0,Kieran,0,21,false,Hamstring injury - Unknown return date,2024-08-12T14:30:04.394338Z,45,192895.jpg,0,Tierney,0.0,false,,i,1,3,0,33,33,1184,1184,0.0,0.0,Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,381,157,383,156,318,129,392,158,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,387,84,389,152,389,152,523,184,0.0,0.0
0.0,0.0,223723,0,0,0,0,0,2,0.0,0.0,0,Tomiyasu,0,22,false,Knee injury - Unknown return date,2024-08-12T14:30:04.404182Z,50,223723.jpg,0,Takehiro,0.1,false,,i,1,3,0,36,36,2014,2014,0.0,0.0,Tomiyasu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,512,191,525,193,492,189,524,193,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,247,33,525,191,525,191,487,179,0.0,0.0
,,116216,0,0,0,0,0,3,3.5,3.5,1,Leandro,1,23,false,"",,70,116216.jpg,1,Trossard,2.0,false,,a,1,3,1,2047,2047,23215,23215,0.1,0.1,Trossard,10,0,0,0,0,0,0,0,0,0,0,0,2,4.2,0.3,0,0.5,0,0.0,0.0,0.0,0.15,230,105,258,142,614,278,270,132,4.0,"",,"",,"",0.0,0,0.0,0.0,1.35,0.0,27,15,286,144,286,144,138,47,0.0,0.0
,,198869,0,0,0,0,0,2,4.6,4.6,6,Benjamin,6,24,false,"",,65,198869.jpg,6,White,10.4,false,,a,1,3,6,10221,10221,24363,24363,0.9,0.9,White,90,0,0,1,0,0,0,0,0,0,0,0,22,5.8,1.3,8,1.5,1,0.07,0.06,0.13,0.47,210,84,205,58,96,17,227,77,,"",,"",,"",0.07,0,0.06,0.13,0.47000000000000003,0.0,47,2,52,21,52,21,40,13,1.0,1.0
,,206325,0,0,0,0,0,2,3.4,3.4,6,Oleksandr,6,25,false,"",,50,206325.jpg,6,Zinchenko,3.1,false,,a,1,3,6,25624,25624,9906,9906,1.2,1.2,Zinchenko,68,0,0,1,0,0,0,0,0,0,0,0,22,7.2,4.9,6,1.8,1,0.0,0.04,0.04,0.32,193,79,131,28,115,27,197,62,,"",,"",,"",0.0,0,0.05,0.05,0.42,0.0,233,27,40,14,40,14,103,39,1.32,1.32
,,466075,0,0,0,0,0,2,4.2,4.2,0,Riccardo,0,578,false,"",,60,466075.jpg,0,Calafiori,2.4,false,,a,1,3,0,2608,2608,28898,28898,0.0,0.0,Calafiori,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,596,203,601,203,595,203,601,203,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,90,8,598,201,598,201,118,44,0.0,0.0
,,499169,0,0,0,0,0,3,2.0,2.0,0,Myles,0,597,false,"",,45,499169.jpg,0,Lewis-Skelly,0.0,false,,a,1,3,0,429,429,264,264,0.0,0.0,Lewis-Skelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,451,173,457,180,411,147,462,176,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,497,249,462,178,462,178,554,239,0.0,0.0
,,106468,0,0,0,0,0,2,0.9,1.9,0,Álex,0,26,false,"",,45,106468.jpg,0,Moreno Lopera,0.7,false,,a,2,7,0,2141,2141,7004,7004,0.0,0.0,Alex Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,365,146,362,144,294,116,376,147,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,353,61,372,140,372,140,216,77,0.0,0.0
,,215711,0,0,0,0,0,3,1.3,2.3,1,Leon,1,28,false,"",,65,215711.jpg,1,Bailey,3.5,false,,a,2,7,1,9027,9027,25953,25953,0.2,0.2,Bailey,73,0,0,0,1,0,0,0,1,0,0,0,1,0.0,30.5,13,4.2,1,0.21,0.21,0.42,1.39,606,274,25,22,74,48,79,53,3.0,"",4.0,"",,"",0.26,0,0.26,0.52,1.71,1.23,52,32,280,140,280,140,93,29,1.23,0.0
,,88894,0,0,0,0,0,3,1.0,2.0,0,Ross,0,29,false,"",,55,88894.jpg,0,Barkley,0.8,false,,a,2,7,0,1567,1567,9550,9550,0.0,0.0,Barkley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,560,247,569,251,551,239,571,250,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,103,62,567,250,567,250,204,69,0.0,0.0
,,491287,0,0,0,0,0,3,0.6,1.6,0,Enzo,0,30,false,"",,50,491287.jpg,0,Barrenechea,0.1,false,,a,2,7,0,232,232,553,553,0.0,0.0,Barrenechea,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,542,237,555,243,531,226,554,240,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,303,194,552,241,552,241,508,200,0.0,0.0
,,195546,0,0,0,0,0,3,1.0,2.0,0,Emiliano,0,31,false,"",,55,195546.jpg,0,Buendía Stati,0.1,false,,a,2,7,0,321,321,1310,1310,0.0,0.0,Buendia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,567,249,578,253,564,243,577,252,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,127,74,573,252,573,252,410,143,0.0,0.0
,,199796,0,0,0,0,0,2,0.9,1.9,2,Matty,2,32,false,"",,45,199796.jpg,2,Cash,3.2,false,,a,2,7,2,14520,14520,12190,12190,0.4,0.4,Cash,81,0,0,0,1,0,0,0,0,0,0,0,7,9.0,12.4,2,2.3,1,0.0,0.01,0.01,1.41,170,68,96,18,165,46,158,43,,"",,"",,"",0.0,0,0.01,0.01,1.57,1.11,391,87,105,35,105,35,101,37,1.11,0.0
,,151589,0,0,0,0,0,3,0.0,1.0,0,Leander,0,33,false,"",,45,151589.jpg,0,Dendoncker,1.0,false,,a,2,7,0,3099,3099,4900,4900,0.0,0.0,Dendoncker,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,373,141,374,148,307,112,384,144,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,370,212,380,146,380,146,185,62,0.0,0.0
0.0,0.0,243557,0,0,0,0,0,3,0.0,0.0,0,Moussa,0,34,false,Permanent transfer to Al Ittihad,2024-07-26T08:50:40.300928Z,65,243557.jpg,0,Diaby,0.0,false,,u,2,7,0,0,0,1408,1408,0.0,0.0,Diaby,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,608,276,612,276,608,274,612,276,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,57,37,608,276,608,276,545,230,0.0,0.0
,,165659,0,0,0,0,0,2,0.9,1.9,0,Diego Carlos,0,35,false,"",,45,165659.jpg,0,Santos Silva,0.6,false,,a,2,7,0,1804,1804,5634,5634,0.0,0.0,Diego Carlos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,376,152,377,151,312,124,387,153,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,377,75,383,146,383,146,226,81,0.0,0.0
,,101188,0,0,0,0,0,2,0.9,1.9,2,Lucas,2,36,false,"",,45,101188.jpg,2,Digne,2.3,false,,a,2,7,2,5739,5739,6897,6897,0.4,0.4,Digne,73,0,0,0,1,0,0,0,0,0,0,0,14,14.4,19.2,0,3.4,1,0.0,0.13,0.13,1.39,110,45,49,5,291,114,95,16,4.0,"",2.0,"",,"",0.0,0,0.16,0.16,1.71,1.23,350,59,95,30,95,30,124,47,1.23,0.0
0.0,0.0,461421,0,0,0,0,0,3,0.0,0.0,0,Lewis,0,37,false,Permanent transfer to West Bromwich Albion,2024-08-07T08:21:33.016106Z,50,461421.jpg,0,Dobbin,0.0,false,,u,2,7,0,0,0,83,83,0.0,0.0,Dobbin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,530,230,542,236,518,218,542,233,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,283,182,541,233,541,233,606,269,0.0,0.0
,,476344,0,0,0,0,0,4,1.0,2.0,6,Jhon,6,38,false,"",,60,476344.jpg,6,Durán,0.5,false,,a,2,7,6,12996,12996,3334,3334,1.0,1.0,Duran,28,1,0,0,0,0,0,0,0,0,0,1,30,34.4,2.1,23,6.0,0,0.38,0.0,0.38,1.17,23,6,170,16,38,10,40,7,,"",,"",,"",1.22,0,0.0,1.22,3.76,0.0,92,27,50,8,50,8,244,41,0.0,0.0
,,462492,0,0,0,0,0,1,0.0,1.0,0,Joe,0,39,false,"",,40,462492.jpg,0,Gauci,0.5,false,,a,2,7,0,3518,3518,1247,1247,0.0,0.0,Gauci,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,327,42,318,23,244,23,338,42,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,595,61,336,43,336,43,236,33,0.0,0.0
,,123354,0,0,0,0,0,2,0.0,1.0,0,Kortney,0,40,false,"",,40,123354.jpg,0,Hause,0.6,false,,a,2,7,0,2591,2591,2647,2647,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,295,103,285,98,210,63,306,104,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,556,160,303,97,303,97,230,84,0.0,0.0
,,469247,0,0,0,0,0,3,1.0,2.0,0,Samuel,0,41,false,"",,55,469247.jpg,0,Iling-Junior,0.1,false,,a,2,7,0,124,124,864,864,0.0,0.0,Iling Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,581,258,589,261,579,254,589,261,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,159,96,585,261,585,261,472,174,0.0,0.0
0.0,0.0,226944,0,0,0,0,0,3,0.0,0.0,0,Boubacar,0,42,false,Knee injury - Expected back 14 Sep,2024-07-17T13:30:04.954579Z,50,226944.jpg,0,Kamara,0.0,false,,i,2,7,0,9,9,41,41,0.0,0.0,Kamara,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,514,220,527,227,494,201,526,223,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,250,159,527,225,527,225,610,272,0.0,0.0
0.0,0.0,465390,0,0,0,0,0,2,0.0,0.0,0,Kaine,0,43,false,Has joined Preston North End for the rest of the season,2024-08-09T11:14:21.895838Z,40,465390.jpg,0,Kesler-Hayden,0.0,false,,u,2,7,0,0,0,370,370,0.0,0.0,Kesler-Hayden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,330,121,321,117,247,83,341,122,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,598,185,339,116,339,116,571,191,0.0,0.0
,,199798,0,0,0,0,0,2,0.9,1.9,2,Ezri,2,44,false,"",,45,199798.jpg,2,Konsa Ngoyo,12.8,false,,a,2,7,2,17609,17609,34108,34108,0.4,0.4,Konsa,90,0,0,0,1,0,0,0,0,0,0,0,10,13.4,14.1,7,3.5,1,0.07,0.01,0.08,2.46,124,53,81,13,100,19,92,15,,"",,"",,"",0.07,0,0.01,0.08,2.46,1.0,392,88,106,36,106,36,34,9,1.0,0.0
,,441302,0,0,0,0,0,2,1.4,2.4,1,Ian,1,45,false,"",,50,441302.jpg,1,Maatsen,3.6,false,,a,2,7,1,7150,7150,23134,23134,0.2,0.2,Maatsen,16,0,0,0,0,0,0,0,0,0,0,0,5,8.8,10.5,0,1.9,0,0.0,0.04,0.04,1.06,174,71,110,23,515,192,190,58,,"",,"",,"",0.0,0,0.22,0.22,5.96,0.0,278,38,243,87,243,87,92,36,0.0,0.0
0.0,0.0,462381,0,0,0,0,0,1,0.0,0.0,0,Filip,0,46,false,Has joined MK Dons for the rest of the season,2024-07-18T09:50:40.812599Z,40,462381.jpg,0,Marschall,0.0,false,,u,2,7,0,0,0,9,9,0.0,0.0,Marschall,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,326,41,317,22,243,22,337,41,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,594,60,335,42,335,42,616,65,0.0,0.0
,,98980,0,0,0,0,0,1,2.1,3.1,3,Emiliano,3,47,false,"",,50,98980.jpg,3,Martínez Romero,12.8,false,,a,2,7,3,17625,17625,38639,38639,0.6,0.6,Martinez,90,0,0,0,1,0,0,0,0,0,3,0,11,25.8,0.0,0,2.6,1,0.0,0.0,0.0,2.46,45,10,496,59,455,59,142,9,,"",,"",,"",0.0,3,0.0,0.0,2.46,1.0,189,7,69,12,69,12,33,6,1.0,0.0
,,122806,0,0,0,0,0,3,1.0,2.0,2,John,2,48,false,"",,55,122806.jpg,2,McGinn,2.2,false,,a,2,7,2,4251,4251,11908,11908,0.4,0.4,McGinn,61,0,0,0,1,0,0,0,0,0,0,0,6,1.6,2.6,15,1.9,1,0.3,0.01,0.31,1.28,265,131,163,107,64,39,191,97,,"",3.0,"",,"",0.44,0,0.01,0.45,1.8900000000000001,1.48,115,67,148,72,148,72,126,42,1.48,0.0
0.0,0.0,149484,0,0,0,0,0,2,0.0,0.0,0,Tyrone,0,49,false,Knee injury - Expected back 14 Sep,2024-08-05T15:00:04.309727Z,45,149484.jpg,0,Mings,0.1,false,,i,2,7,0,43,43,1282,1282,0.0,0.0,Mings,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,372,150,373,149,306,121,383,151,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,369,70,379,144,379,144,484,177,0.0,0.0
,,578545,0,0,0,0,0,2,0.0,1.0,1,Kosta,1,50,false,"",,40,578545.jpg,1,Nedeljković,0.4,false,,a,2,7,1,4458,4458,1528,1528,0.2,0.2,Nedeljkovic,8,0,0,0,0,0,0,0,0,0,0,0,6,4.2,0.3,0,0.5,0,0.0,0.0,0.0,1.04,226,88,248,84,268,100,267,91,,"",,"",,"",0.0,0,0.0,0.0,11.7,0.0,619,202,183,57,183,57,277,104,0.0,0.0
50.0,50.0,111782,0,0,0,0,0,1,0.6,1.1,0,Robin,0,51,false,Knock - 50% chance of playing,2024-08-12T14:30:04.425331Z,45,111782.jpg,0,Olsen,0.1,false,,d,2,7,0,25,25,721,721,0.0,0.0,Olsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,369,55,368,41,301,41,380,55,,"",,"",,"",0.0,0,0.0,0.0,0.0,0.0,363,23,376,55,376,55,450,60,0.0,0.0
,,244954,0,0,0,0,0,2,0.9,1.9,2,Pau,2,52,false,"",,45,244954.jpg,2,Torres,1.4,false,,a,2,7,2,3664,3664,4902,4902,0.4,0.4,Pau,90,0,0,0,1,0,0,0,0,0,0,0,17,29.2,1.9,0,3.1,1,0.0,0.01,0.01,2.46,36,6,171,45,359,158,116,28,,"",,"",,"",0.0,0,0.01,0.01,2.46,1.0,439,123,112,40,112,40,161,59,1.0,0.0
,,232653,0,0,0,0,0,3,1.0,2.0,4,Jacob,4,53,false,"",,55,232653.jpg,4,Ramsey,0.3,false,,a,2,7,4,1948,1948,1535,1535,0.7,0.7,Ramsey,28,0,1,0,0,0,0,0,0,0,0,0,18,18.4,12.3,7,3.8,0,0.06,0.13,0.19,1.17,83,29,99,72,103,65,85,56,,"",,"",,"",0.19,0,0.42,0.61,3.76,0.0,142,86,62,20,62,20,306,100,0.0,0.0
,,244850,0,0,0,0,0,3,0.6,1.6,2,Morgan,2,54,false,"",,50,244850.jpg,2,Rogers,8.8,false,,a,2,7,2,23106,23106,18236,18236,0.4,0.4,Rogers,90,0,0,0,1,0,0,0,0,0,0,0,14,17.8,23.3,16,5.7,1,0.21,0.08,0.29,2.46,87,31,40,33,61,36,51,38,,"",,"",,"",0.21,0,0.08,0.29,2.46,1.0,260,167,137,63,137,63,46,15,1.0,0.0
